NUM_MUN_SGAB;NUM_CARRER;CLASSE_CARRER;NOM_ABREUJ_CARRER;TIP_DENOMIN_CARRER;NOM_COMPLET_CARRER;ID_CARRER_SAP;QL_CARRER
00;1001;AVDA;DIAGONAL;U;AVINGUDA DIAGONAL;S;S
00;1002;CARR;ARAGO;U;CARRER ARAGO;S;S
00;1003;CARR;BALMES;U;CARRER BALMES;S;S
00;1004;PSSG;GRACIA;U;PASSEIG DE GRACIA;S;S
00;1005;RBLA;CATALUNYA;U;RAMBLA CATALUNYA;S;S
10;2001;AVDA;CARRILET;U;AVINGUDA CARRILET;S;S
10;2002;RBLA;JUST OLIVERAS;U;RAMBLA JUST OLIVERAS;S;S
10;2003;CARR;PRAT RIBA;U;CARRER ENRIC PRAT DE LA RIBA;S;S
11;3001;CARR;RUBIO ORS;U;CARRER RUBIO I ORS;S;S
11;3002;AVDA;BAIX LLOBREGAT;U;AVINGUDA BAIX LLOBREGAT;S;S
20;4001;CARR;SANT NICASI;U;CARRER SANT NICASI;S;S
20;4002;AVDA;ERAMPRUNYA;U;AVINGUDA ERAMPRUNYA;S;S
22;5001;RBLA;RAFAEL CASANOVA;U;RAMBLA RAFAEL CASANOVA;S;S
22;5002;CARR;INDUSTRIA;I;CARRER INDUSTRIA;S;S
25;6001;AVDA;GENERALITAT;U;AVINGUDA GENERALITAT;S;S
25;6002;CARR;AGRICULTURA;I;CARRER AGRICULTURA;S;S
40;7001;CARR;DEL MAR;U;CARRER DEL MAR;S;S
40;7002;AVDA;MARTI PUJOL;U;AVINGUDA MARTI PUJOL;S;S
62;8001;CARR;GRACIA;U;CARRER DE GRACIA;S;S
62;8002;ROND;ZAMENHOF;U;RONDA ZAMENHOF;S;S
63;9001;AVDA;CERDANYOLA;U;AVINGUDA CERDANYOLA;S;S
63;9002;CARR;VALLES;U;CARRER VALLES;S;S
68;10001;AVDA;VERGE MONTSERRAT;U;AVINGUDA VERGE DE MONTSERRAT;S;S
68;10002;CARR;RIU LLOBREGAT;I;CARRER RIU LLOBREGAT;S;S
