"TIP_CODI";"CLAU_CODI";"DESC_CODI";"DESC_BREU"
"F25";"A40  ";"CANON DECLARAT A.C.A.                             ";"CANON DECLARAT A.C.A"
"F25";"BAE  ";"CANON BAELLS (TAXA OBSOLETA DES DE 01.01.1991)    ";"CANON BAELLS        "
"F25";"BEA  ";"BONIFICACIO EMPLEAT (ACTIUS)                      ";"BONIF.EMPLEAT(ACTIU)"
"F25";"BEP  ";"BONIFICACIO EMPLEAT (PASIUS)                      ";"BONIF.EMPLEAT(PASIU)"
"F25";"BOP  ";"BONIFICACIO PEATGE (VENDES EN ALTA)               ";"BONIFICACIO PEATGE  "
"F25";"BOS  ";"BONIFICACIO QUOTA SOCIAL                          ";"BONIF.QTA.SOC       "
"F25";"BSA  ";"BONIFICACIÓ SOCIAL AIGUA                          ";"BONIF. SOCIAL AIGUA "
"F25";"BSQ  ";"BONIFICACIÓ SOCIAL QUOTA                          ";"BONIF. SOCIAL QUOTA "
"F25";"BTD  ";"BONIFICACIO TMTR US DEIXALLERIES                  ";"BONIF.TMTR DEIXALLER"
"F25";"BUF  ";"INDEMNITZACIÓ PER INTERRUPCIÓ SUBMINISTRAMENT     ";"INDEMNITZACIÓ       "
"F25";"B10  ";"BOQUES 100                                        ";"BOQUES 100          "
"F25";"B25  ";"BOQUES 25                                         ";"BOQUES 25           "
"F25";"B45  ";"BOQUES 45                                         ";"BOQUES 45           "
"F25";"B70  ";"BOQUES 70                                         ";"BOQUES 70           "
"F25";"CAB  ";"CARTA COMPROMÍS CLIENT AIGUA BRUTA                ";"CARTA COMP.C. A.B.  "
"F25";"CAE  ";"CARTA COMPR.AVÍS EX.CONSUM                        ";"CCC.AVÍS.EX.CON.    "
"F25";"CAN  ";"CARTA COMPROMÍS CLIENT AIGUA NO BRUTA             ";"CARTA COMP.C. A.N.B."
"F25";"CAP  ";"CARREC PEATGE (VENDES EN ALTA)                    ";"CARREC PEATGE       "
"F25";"CAS  ";"CARTA COMPR.ALTA SUBMIN.                          ";"CCC.ALTA SUBM.      "
"F25";"CA1  ";"CANON AIGUA DOMESTIC TRAM 1                       ";"CANON AIGUA TRAM 1  "
"F25";"CA2  ";"CANON AIGUA DOMESTIC TRAM 2                       ";"            TRAM 2  "
"F25";"CA3  ";"CANON AIGUA INDUSTRIAL GRAVAMEN GENERAL           ";"CANON AIGUA GEN.    "
"F25";"CA4  ";"CANON AIGUA INDUSTRIAL GRAVAMEN ESPECIFIC         ";"CANON AIGUA ESP.    "
"F25";"CA5  ";"I.V.A. CANON AIGUA                                ";"IVA CANON AIGUA     "
"F25";"CA6  ";"CANON AIGUA DOMESTIC TRAM 3                       ";"CANON AIGUA TRAM 3  "
"F25";"CA7  ";"CANON AIGUA DOMESTIC TRAM 4                       ";"TR.4 C.AIGUA DOMESTI"
"F25";"CD   ";"COBRAMENT DUPLICAT TORNAT                         ";"COBRAMENT DUPLICAT  "
"F25";"CEO  ";"CARTA COMPR.EX.OPER.COMER.                        ";"CCC.OPER.COMER.     "
"F25";"CIT  ";"CARTA COMPROMÍS CLIENT CITES                      ";"CARTA COMP. CLI.CIT."
"F25";"CL1  ";"TRAM 1 TAXA CLAVEGUERAM                           ";"CLAVEGUERAM TR.1    "
"F25";"CL2  ";"TRAM 2 TAXA CLAVEGUERAM                           ";"            TR.2    "
"F25";"CL3  ";"CLAVEGUERAM APB                                   ";"CLAVEGUERAM APB     "
"F25";"CL4  ";"IVA CLAVEGUERAM APB                               ";"IVA CLAVEGUERAM APB "
"F25";"CL5  ";"CLAVEGUERAM SOREA-BOTIGUES DE SITGES              ";"CLAVEGUERAM SOREA   "
"F25";"CL6  ";"IVA CLAVEGUERAM SOREA-BOTIGUES DE SITGES          ";"IVA CLAVEG. SOREA   "
"F25";"CN   ";"CANVIS DE NOM                                     ";"CANVI TITULAR CTE.  "
"F25";"CN1  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 1           ";"TR.1 CA. AB DOMESTIC"
"F25";"CN2  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 2           ";"TR.2 CA. AB DOMESTIC"
"F25";"CN3  ";"REPERCUSSIO CANON AIGUA IND. GRAVAMEN GENERAL     ";"GRAV.G.CA. AB INDUS "
"F25";"CN4  ";"REPERCUSSIO CANON AIGUA IND. GRAVAMEN ESPECIFIC   ";"GRAV.E.CA. AB INDUS "
"F25";"CN6  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 3           ";"TR.3 CA. AB DOMESTIC"
"F25";"CN7  ";"REPERCUSSIO CANON AIGUA DOMESTIC TRAM 4           ";"TR.4 CA. AB DOMESTIC"
"F25";"CON  ";"CONSERVACIO COMPTADOR (AJT. BARCELONA)            ";"CONSERVACIO COMP.   "
"F25";"CPF  ";"CARTA COMPR.PRECIS.FACTUR.                        ";"CCC.PREC.FACT.      "
"F25";"CR   ";"CARTES DE RECLAMACIO (GESTIO IMPAGATS)            ";"DESP.GESTIO IMPAGAM."
"F25";"CRR  ";"CARTA COMPR.RESPOSTA RECL.                        ";"CCC.RESP.RECL.      "
"F25";"CTG  ";"C.T.G.SUBM (TAXA OBSOLETA DES DE 01.01.1991)      ";"C.T.G.S.            "
"F25";"C01  ";"IMPORT CONTRACTE SGAB                             ";"IMP.CTE.SGAB.       "
"F25";"C02  ";"IVA CONTRACTE SGAB                                ";"IVA.CTE.SGAB.       "
"F25";"C03  ";"IMPORT CONTRACTE MUSA                             ";"IMP.CTE.MUSA.       "
"F25";"C04  ";"IVA CONTRACTE MUSA                                ";"IVA.CTE.MUSA.       "
