"NUM_MUN_SGAB";"NUM_DTE_MUNI";"NOM_DTE_MUNI";"NUM_DEL_SGAB";"NUM_AGENCIA_SGAB";"CODI_AREA_SD"
"00";"01";"CIUTAT VELLA                       ";"05";"50";"1"
"00";"02";"EIXAMPLE                           ";"05";"50";"1"
"00";"03";"SANTS-MONTJUIC                     ";"05";"50";"1"
"00";"04";"LES CORTS                          ";"05";"50";"1"
"00";"05";"SARRIA - SANT GERVASI              ";"05";"50";"1"
"00";"06";"GRACIA                             ";"06";"60";"2"
"00";"07";"HORTA - GUINARDO                   ";"06";"60";"2"
"00";"08";"NOU BARRIS                         ";"06";"60";"2"
"00";"09";"SANT ANDREU                        ";"06";"60";"2"
"00";"10";"SANT MARTI                         ";"06";"60";"2"
"10";"01";"SANT FELIU - CENTRE - SANT JOSEP   ";"01";"10";" "
"10";"02";"COLLBLANC - LA TORRASSA            ";"01";"10";" "
"10";"03";"SANTA EULALIA                      ";"01";"10";" "
"10";"04";"FLORIDA - LES PLANES               ";"01";"10";" "
"10";"05";"PUBILLA CASES - CAN SERRA          ";"01";"10";" "
"10";"06";"BELLVITGE - POLIGON GORNAL         ";"01";"10";" "
"62";"00";"SABADELL                           ";"05";"50";" "
"62";"99";"SABADELL                           ";"02";"20";" "
"  ";"  ";"NO INFORMAT                        ";"00";"00";" "
"00";"  ";"BARCELONA                          ";"00";"00";" "
"10";"  ";"L'HOSPITALET LLOBR.                ";"01";"10";" "
"11";"  ";"CORNELLA                           ";"01";"10";" "
"20";"  ";"GAVA                               ";"03";"30";" "
"22";"  ";"SANT BOI                           ";"03";"31";" "
"24";"  ";"STA.COLOMA CERVELLO                ";"03";"30";" "
"25";"  ";"VILADECANS                         ";"03";"32";" "
"26";"  ";"CASTELLDEFELS                      ";"03";"33";" "
"27";"  ";"LES BOTIGUES SITGES                ";"03";"30";" "
"28";"  ";"TORRELLES LLOBREGAT                ";"03";"30";" "
"30";"  ";"ESPLUGUES                          ";"01";"13";" "
"31";"  ";"SANT FELIU LL.                     ";"01";"14";" "
"32";"  ";"SANT JOAN DESPI                    ";"01";"10";" "
"33";"  ";"SANT JUST DESVERN                  ";"01";"10";" "
"40";"  ";"BADALONA                           ";"02";"20";" "
"41";"  ";"ARGENTONA                          ";"02";"20";" "
"42";"  ";"CABRERA DE MAR                     ";"02";"20";" "
"43";"  ";"CERDANYOLA                         ";"02";"22";" "
"44";"  ";"MONTCADA I REIXAC                  ";"02";"21";" "
"45";"  ";"MONTGAT                            ";"02";"20";" "
"46";"  ";"SANT ADRIA                         ";"02";"20";" "
"47";"  ";"STA.COLOMA GRAMENET                ";"02";"23";" "
"50";"  ";"ALELLA                             ";"02";"20";" "
"51";"  ";"CABRILS                            ";"02";"20";" "
"52";"  ";"DOSRIUS                            ";"02";"20";" "
"53";"  ";"LA LLAGOSTA                        ";"02";"20";" "
"54";"  ";"MATARO                             ";"02";"20";" "
"55";"  ";"RIPOLLET                           ";"02";"20";" "
"56";"  ";"VILASSAR DE DALT                   ";"02";"20";" "
"57";"  ";"BARBERA DEL VALLES                 ";"02";"20";" "
"58";"  ";"TIANA                              ";"02";"20";" "
"59";"  ";"PREMIA DE DALT                     ";"02";"20";" "
"60";"  ";"BELLATERRA                         ";"02";"20";" "
"61";"  ";"MOLLET DEL VALLES                  ";"02";"20";" "
"62";"  ";"SABADELL                           ";"00";"00";" "
"63";"  ";"SANT CUGAT                         ";"05";"50";" "
"64";"  ";"TEIA                               ";"02";"20";" "
"65";"  ";"MARTORELLES                        ";"02";"20";" "
"66";"  ";"S.FOST CAMPSENTELLES               ";"02";"20";" "
"67";"  ";"BEGUES                             ";"03";"30";" "
"68";"  ";"EL PRAT LLOBREGAT                  ";"03";"30";" "
"69";"  ";"BADIA                              ";"02";"20";" "
"72";"  ";"EL PAPIOL                          ";"03";"30";" "
"73";"  ";"PALLEJA                            ";"03";"30";" "
"75";"  ";"SANT CLIMENT LLOB.                 ";"03";"30";" "
"77";"  ";"MOLINS DE REI                      ";"03";"30";" "
"78";"  ";"ST.VICENÇ DELS HORTS               ";"03";"30";" "
"79";"  ";"CERVELLO                           ";"03";"30";" "
"80";"  ";"EL MASNOU                          ";"02";"20";" "
