NUM_PARTICIO;ID_EMPRESA;ANY_FACTURA;NUM_FACTURA;NUM_LINEA;NUM_CONCEPTE;BASE_CONCEPTE;TIP_TAXA_CONCEP;PREU_CONCEPTE;IMP_CONCEPTE;IVA_APLICAT_CONC;OBSER_CONCEPTE
1;AB;2021;1;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;1;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2021;1;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2021;1;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2021;1;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;2;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;2;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2021;2;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2021;2;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2021;2;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;3;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;3;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2021;3;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2021;3;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2021;3;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;4;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;4;2;CA2;2;M;1.0;2.0;0.0;Canon tram 2
1;AB;2021;4;3;CA5;6.5;P;10.0;0.65;10.0;IVA canon
1;AB;2021;4;4;CL1;11;M;0.4;4.4;0.0;Clavegueram tram 1
1;AB;2021;4;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;5;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;5;2;CA2;3;M;1.0;3.0;0.0;Canon tram 2
1;AB;2021;5;3;CA5;7.5;P;10.0;0.75;10.0;IVA canon
1;AB;2021;5;4;CL1;12;M;0.4;4.8;0.0;Clavegueram tram 1
1;AB;2021;5;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;6;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;6;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2021;6;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2021;6;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2021;6;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;7;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;7;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2021;7;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2021;7;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2021;7;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;8;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;8;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2021;8;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2021;8;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;9;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;9;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2021;9;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2021;9;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2021;9;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2021;10;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2021;10;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2021;10;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2021;10;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2021;10;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;1;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;1;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2022;1;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2022;1;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;2;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;2;2;CA2;1;M;1.0;1.0;0.0;Canon tram 2
1;AB;2022;2;3;CA5;5.5;P;10.0;0.55;10.0;IVA canon
1;AB;2022;2;4;CL1;10;M;0.4;4.0;0.0;Clavegueram tram 1
1;AB;2022;2;5;CON;1;U;1.5;1.5;10.0;Conservacio comptador
1;AB;2022;3;1;CA1;9;M;0.5;4.5;0.0;Canon tram 1
1;AB;2022;3;2;CA5;4.5;P;10.0;0.45;10.0;IVA canon
1;AB;2022;3;3;CL1;9;M;0.4;3.6;0.0;Clavegueram tram 1
1;AB;2022;3;4;CON;1;U;1.5;1.5;10.0;Conservacio comptador
