NUM_MUN_SGAB;NUM_CARRER;NUM_INI_FINCA;COMP_NUM_INI_FINCA;NUM_FIN_FINCA;COMP_NUM_FIN_FINCA;SIT_FINCA_ESPEC;ORD_FINCA_ESPEC;NUM_TORN_LECT_MENS;ORD_FINCA_TORN_MEN;NUM_DTE_POST_FINCA;ESTAT_FINCA;ID_GRUP_ELEV_FINCA;PRES_XARXA_FINCA;CAT_FISCAL_FINCA;ALTURA_FINCA;ID_FINCA_RENDA_LIM;NUM_EXP_RENDA_LIM;NUM_ZONA_RECOR;NUM_TRAVES;CASA_RECOR_PERIOD;NUM_NUS_XARXA;ID_LOT_LECT;OBS_ADRE_INCOMPLET;PARTICULARIT_FINCA;LOCAL_CLAUS_FINCA;QL_COMPT_ELECTRON;NUM_DTE_MUNI_FINCA;QL_BATERIA_CABLE;CODI_UBICACIO_SAP
00;1001;0020;;0024;;N;0;1;1;01;A;N;55;R;8;N;00000000001;01;1001;020;101;L01;;BLOC RESIDENCIAL;PORTERIA;S;01;NO;SAP000001
00;1001;0040;;0046;;N;0;11;1;02;A;N;58;R;12;N;00000000002;01;1002;040;102;L01;;BLOC RESIDENCIAL;PORTERIA;S;02;NO;SAP000002
00;1002;0015;;0015;;N;0;21;1;02;A;N;52;R;2;N;00000000003;01;1003;015;103;L02;;CASA UNIFAMILIAR;ARMARI;S;02;NO;SAP000003
00;1003;0100;;0120;;N;0;1;1;05;A;N;70;I;1;N;00000000004;02;2001;100;104;L03;;NAU INDUSTRIAL;PORTA TECNICA;S;05;SI;SAP000004
00;1004;0001;;0005;;N;0;11;1;04;A;N;60;P;5;N;00000000005;01;1004;005;105;L02;;EDIFICI PUBLIC;PORTERIA;S;04;NO;SAP000005
00;1005;0060;;0070;;N;0;21;1;03;A;N;54;R;10;N;00000000006;01;1005;070;106;L02;;BLOC RESIDENCIAL;PORTERIA;S;03;NO;SAP000006
10;2001;0010;;0014;;N;0;11;1;01;A;N;50;R;6;N;00000000007;03;2002;010;107;L04;;BLOC RESIDENCIAL;PORTERIA;S;01;NO;SAP000007
10;2002;0025;;0025;;N;0;21;1;03;A;N;48;R;1;N;00000000008;03;2003;025;108;L04;;CASA ADOSSADA;ARMARI;S;03;NO;SAP000008
10;2003;0050;;0060;;N;0;1;1;02;A;N;53;R;8;N;00000000009;03;2004;060;109;L04;;BLOC RESIDENCIAL;PORTERIA;S;02;NO;SAP000009
10;2001;0200;;0220;;N;0;11;1;04;A;N;68;I;1;N;00000000010;04;3001;220;110;L05;;NAU INDUSTRIAL;ACCESSOS;S;04;SI;SAP000010
11;3001;0005;;0009;;N;0;1;1;01;A;N;51;R;4;N;00000000011;04;3002;005;111;L05;;BLOC RESIDENCIAL;PORTERIA;S;01;NO;SAP000011
11;3002;0010;;0018;;N;0;11;1;02;A;N;52;R;5;N;00000000012;04;3003;018;112;L05;;BLOC RESIDENCIAL;PORTERIA;S;02;NO;SAP000012
11;3001;0100;;0120;;N;0;21;1;03;A;N;70;I;1;N;00000000013;04;3004;120;113;L05;;POLIGON INDUSTRIAL;CONTROL;S;03;SI;SAP000013
20;4001;0030;;0034;;N;0;1;1;01;A;N;50;R;4;N;00000000014;05;4001;034;114;L06;;BLOC RESIDENCIAL;PORTERIA;S;01;NO;SAP000014
20;4002;0050;;0060;;N;0;11;1;02;A;N;57;R;8;N;00000000015;05;4002;060;115;L06;;BLOC RESIDENCIAL;PORTERIA;S;02;NO;SAP000015
20;4001;0200;;0240;;N;0;21;1;03;A;N;75;I;1;N;00000000016;05;4003;240;116;L06;;NAU INDUSTRIAL;ACCES CAMIONS;S;03;SI;SAP000016
22;5001;0010;;0015;;N;0;1;1;01;A;N;51;R;4;N;00000000017;06;5001;015;117;L07;;BLOC RESIDENCIAL;PORTERIA;S;01;NO;SAP000017
22;5002;0100;;0120;;N;0;11;1;02;A;N;72;I;1;N;00000000018;06;5002;120;118;L07;;INDUSTRIAL;CONTROL;S;02;SI;SAP000018
22;5001;0030;;0038;;N;0;21;1;03;A;N;55;R;6;N;00000000019;06;5003;038;119;L07;;BLOC RESIDENCIAL;PORTERIA;S;03;NO;SAP000019
25;6001;0015;;0025;;N;0;1;1;01;A;N;54;R;5;N;00000000020;07;6001;025;120;L08;;BLOC RESIDENCIAL;PORTERIA;S;01;NO;SAP000020
25;6002;0100;;0150;;N;0;11;1;02;A;N;70;I;1;N;00000000021;07;6002;150;121;L08;;INDUSTRIAL;CONTROL;S;02;SI;SAP000021
40;7001;0010;;0010;;N;0;1;1;01;A;N;48;R;2;N;00000000022;08;7001;010;122;L09;;UNIFAMILIAR;ARMARI;S;01;NO;SAP000022
40;7001;0020;;0030;;N;0;11;1;02;A;N;55;R;6;N;00000000023;08;7002;030;123;L09;;RESIDENCIAL;PORTERIA;S;02;NO;SAP000023
40;7002;0100;;0120;;N;0;21;1;03;A;N;73;I;1;N;00000000024;08;7003;120;124;L09;;INDUSTRIAL;CONTROL;S;03;SI;SAP000024
62;8001;0015;;0025;;N;0;1;1;00;A;N;55;R;6;N;00000000025;09;8001;025;125;L10;;RESIDENCIAL;PORTERIA;S;00;NO;SAP000025
62;8002;0050;;0060;;N;0;11;1;00;A;N;57;R;8;N;00000000026;09;8002;060;126;L10;;RESIDENCIAL;PORTERIA;S;00;NO;SAP000026
62;8002;0200;;0240;;N;0;21;1;99;A;N;78;I;1;N;00000000027;09;8003;240;127;L10;;INDUSTRIAL;CONTROL;S;99;SI;SAP000027
62;8001;0070;;0080;;N;0;1;1;00;A;N;54;R;7;N;00000000028;09;8004;080;128;L10;;RESIDENCIAL;PORTERIA;S;00;NO;SAP000028
63;9001;0010;;0020;;N;0;1;1;90;A;N;55;R;6;N;00000000029;10;9001;020;129;L11;;RESIDENCIAL;PORTERIA;S;90;NO;SAP000029
63;9002;0025;;0035;;N;0;11;1;90;A;N;60;R;7;N;00000000030;10;9002;035;130;L11;;RESIDENCIAL;PORTERIA;S;90;NO;SAP000030
63;9001;0100;;0150;;N;0;21;1;90;A;N;72;I;1;N;00000000031;10;9003;150;131;L11;;PARC EMPRESARIAL;CONTROL;S;90;SI;SAP000031
68;10001;0010;;0020;;N;0;1;1;20;A;N;52;R;4;N;00000000032;11;10001;020;132;L12;;RESIDENCIAL;PORTERIA;S;20;NO;SAP000032
68;10002;0100;;0140;;N;0;11;1;20;A;N;74;I;1;N;00000000033;11;10002;140;133;L12;;INDUSTRIAL;CONTROL;S;20;SI;SAP000033
00;1004;0100;;0120;;N;0;21;1;04;A;N;58;R;8;N;00000000034;01;1010;120;134;L02;;RESIDENCIAL;PORTERIA;S;04;NO;SAP000034
