"NUM_MUN_SGAB";"NOM_MUN_SGAB";"QL_CRITERI_FACT";"ID_MUN_CP_UNIC";"CP_PROVINCIA";"UNITAT_REPARTIMENT";"NUM_DTE_POST";"NUM_DEL_SGAB";"NUM_AGENCIA_SGAB";"ID_AREA_LECT";"ID_EMPRESA";"DELEGA_CO";"QL_GEST_DTE";"ID_MUNI_ENT_MET";"NOMB_DIES_ANS";"MUNI_GENERALITAT";"CODI_PROV";"CODI_MUNI";"QL_TIPUS_VENDA";"CODI_MUNICIPI"
"  ";"NO INFORMAT         ";"Q";"N";"00";"0";"  ";"00";"00";"0";"AB";"1";"D";"S";"0";"     ";"00";"0000";"D";"000"
"00";"BARCELONA           ";"Q";"N";"08";"0";"  ";"00";"00";"0";"AB";"1";"D";"S";"3";"     ";"08";"0193";"D";"019"
"10";"L'HOSPITALET LLOBR. ";"Q";"N";"08";"9";"  ";"01";"10";"1";"AB";"4";" ";"S";"3";"     ";"08";"1017";"D";"101"
"11";"CORNELLA            ";"Q";"S";"08";"9";"40";"01";"10";"1";"AB";"4";" ";"S";"3";"     ";"08";"0734";"D";"073"
"20";"GAVA                ";"Q";"S";"08";"8";"50";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"0898";"D";"089"
"22";"SANT BOI            ";"Q";"S";"08";"8";"30";"03";"31";"1";"AB";"5";" ";"S";"3";"     ";"08";"2009";"D";"200"
"24";"STA.COLOMA CERVELLO ";"Q";"S";"08";"6";"90";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"2444";"D";"244"
"25";"VILADECANS          ";"Q";"S";"08";"8";"40";"03";"32";"1";"AB";"5";" ";"S";"3";"     ";"08";"3015";"D";"301"
"26";"CASTELLDEFELS       ";"Q";"S";"08";"8";"60";"03";"33";"1";"AB";"5";" ";"S";"3";"     ";"08";"0569";"D";"056"
"27";"LES BOTIGUES SITGES ";"Q";"S";"08";"8";"60";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"2704";"D";"270"
"28";"TORRELLES LLOBREGAT ";"Q";"S";"08";"6";"29";"03";"30";"1";"AB";"5";" ";"S";"3";"     ";"08";"2896";"D";"289"
"30";"ESPLUGUES           ";"Q";"S";"08";"9";"50";"01";"13";"1";"AB";"4";" ";"S";"3";"     ";"08";"0771";"D";"077"
"31";"SANT FELIU LL.      ";"Q";"S";"08";"9";"80";"01";"14";"1";"AB";"4";" ";"S";"3";"     ";"08";"2114";"D";"211"
"32";"SANT JOAN DESPI     ";"Q";"S";"08";"9";"70";"01";"10";"1";"AB";"4";" ";"S";"3";"     ";"08";"2172";"D";"217"
"33";"SANT JUST DESVERN   ";"Q";"S";"08";"9";"60";"01";"10";"1";"AB";"4";" ";"S";"3";"     ";"08";"2212";"D";"221"
"40";"BADALONA            ";"Q";"N";"08";"9";"  ";"02";"20";"2";"AB";"3";" ";"S";"3";"     ";"08";"0155";"D";"015"
"41";"ARGENTONA           ";"Q";"S";"08";"3";"10";"02";"20";"2";"AB";"3";" ";"N";"3";"     ";"08";"0095";"A";"009"
"42";"CABRERA DE MAR      ";"Q";"S";"08";"3";"49";"02";"20";"2";"AB";"3";" ";"N";"3";"     ";"08";"0291";"A";"029"
"43";"CERDANYOLA          ";"Q";"N";"08";"2";"  ";"02";"22";"2";"AB";"3";" ";"S";"3";"     ";"08";"2665";"D";"266"
"44";"MONTCADA I REIXAC   ";"Q";"S";"08";"1";"10";"02";"21";"2";"AB";"3";" ";"S";"3";"     ";"08";"1252";"D";"125"
"45";"MONTGAT             ";"Q";"S";"08";"3";"90";"02";"20";"2";"AB";"3";" ";"S";"3";"     ";"08";"1265";"D";"126"
"46";"SANT ADRIA          ";"Q";"S";"08";"9";"30";"02";"20";"2";"AB";"3";" ";"S";"3";"     ";"08";"1944";"D";"194"
"47";"STA.COLOMA GRAMENET ";"Q";"N";"08";"9";"  ";"02";"23";"2";"AB";"3";" ";"S";"3";"     ";"08";"2457";"D";"245"
"50";"ALELLA              ";"Q";"S";"08";"3";"28";"02";"20";"2";"AB";"3";" ";"N";"3";"     ";"08";"0039";"A";"003"
"51";"CABRILS             ";"Q";"S";"08";"3";"48";"02";"20";"2";"AB";"3";" ";"N";"3";"     ";"08";"0305";"A";"030"
