POLISSA_SUBM;TS_PADRO_TAMGREM;TIP_TAXA_TAMGREM;NOMB_HABIT_SUBM;CONSUM_MES_BASE;TIP_QUOTA_TAMGREM;CONSUM_MIG_DIA;NUMERO_EMPLEAT;SECCIO;EPIGRAF_IAE;PERC_BONIF_TAMGREM;IMP_CUOTA;SUPERFICIE_REAL;SUPERFICIE_POND;NIV_GEN_RES;COD_GEN_RES;ORIGEN;ID_BONIF_DECGER;ID_LIMIT;SUBTIP_TAXA_TAMGREM;OBSERVACIONS;TS_ALTA
S000000071;2025-12-16 00:00:00;G;0;50;IND;1.5;E001;I;4106;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2025-12-16 00:00:00
S000000072;2020-01-17 00:00:00;G;0;50;IND;1.5;E001;I;4101;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2020-01-17 00:00:00
S000000073;2021-02-18 00:00:00;G;0;50;IND;1.5;E001;I;4102;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2021-02-18 00:00:00
S000000074;2022-03-19 00:00:00;G;0;50;IND;1.5;E001;I;4103;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2022-03-19 00:00:00
S000000075;2023-04-20 00:00:00;G;0;50;IND;1.5;E001;I;4104;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2023-04-20 00:00:00
S000000076;2024-05-21 00:00:00;G;0;50;IND;1.5;E001;I;4105;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2024-05-21 00:00:00
S000000077;2025-06-22 00:00:00;G;0;50;IND;1.5;E001;I;4106;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2025-06-22 00:00:00
S000000078;2020-07-23 00:00:00;G;0;50;IND;1.5;E001;I;4101;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2020-07-23 00:00:00
S000000079;2021-08-24 00:00:00;G;0;50;IND;1.5;E001;I;4102;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2021-08-24 00:00:00
S000000080;2022-09-25 00:00:00;G;0;50;IND;1.5;E001;I;4103;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2022-09-25 00:00:00
S000000081;2023-10-26 00:00:00;G;0;50;IND;1.5;E001;I;4104;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2023-10-26 00:00:00
S000000082;2024-11-27 00:00:00;G;0;50;IND;1.5;E001;I;4105;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2024-11-27 00:00:00
S000000083;2025-12-28 00:00:00;G;0;50;IND;1.5;E001;I;4106;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2025-12-28 00:00:00
S000000084;2020-01-01 00:00:00;G;0;50;IND;1.5;E001;I;4101;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2020-01-01 00:00:00
S000000085;2021-02-02 00:00:00;G;0;50;IND;1.5;E001;I;4102;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2021-02-02 00:00:00
S000000086;2022-03-03 00:00:00;G;0;50;IND;1.5;E001;I;4103;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2022-03-03 00:00:00
S000000087;2023-04-04 00:00:00;G;0;50;IND;1.5;E001;I;4104;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2023-04-04 00:00:00
S000000088;2024-05-05 00:00:00;G;0;50;IND;1.5;E001;I;4105;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2024-05-05 00:00:00
S000000089;2025-06-06 00:00:00;G;0;50;IND;1.5;E001;I;4106;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2025-06-06 00:00:00
S000000090;2020-07-07 00:00:00;G;0;50;IND;1.5;E001;I;4101;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2020-07-07 00:00:00
S000000091;2021-08-08 00:00:00;G;0;50;IND;1.5;E001;I;4102;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2021-08-08 00:00:00
S000000092;2022-09-09 00:00:00;G;0;50;IND;1.5;E001;I;4103;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2022-09-09 00:00:00
S000000093;2023-10-10 00:00:00;G;0;50;IND;1.5;E001;I;4104;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2023-10-10 00:00:00
S000000094;2024-11-11 00:00:00;G;0;50;IND;1.5;E001;I;4105;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2024-11-11 00:00:00
S000000095;2025-12-12 00:00:00;G;0;50;IND;1.5;E001;I;4101;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2025-12-12 00:00:00
S000000096;2020-01-13 00:00:00;G;0;50;IND;1.5;E001;I;4101;0;120;500;500;A;1;SG;N;00;N;Padró inicial;2020-01-13 00:00:00
