POLISSA_SUBM;DATA_FIN_FACT;CALCUL_CONSUM_SERV;DIES_CONSUM_SERV;NOMB_BOQ_25_SERV;NOMB_BOQ_45_SERV;NOMB_BOQ_70_SERV;NOMB_BOQ_100_SERV;NOMB_SPRINCK_SERV;ID_BUTLLETA;ID_LOT_LECT;ANY_CALENDARI;MES_CALENDARI
S000000095;2026-01-10;CI;30;1;1;1;0;20;S;L01;26;01
S000000095;2026-02-10;CI;31;1;1;1;0;20;S;L01;26;02
S000000095;2026-03-10;CI;28;1;1;1;0;20;S;L01;26;03
S000000095;2026-04-10;CI;31;1;1;1;0;20;S;L01;26;04
S000000095;2026-05-10;CI;30;1;1;1;0;20;S;L01;26;05
S000000095;2026-06-10;CI;31;1;1;1;0;20;S;L01;26;06
S000000095;2026-07-10;CI;30;1;1;1;0;20;S;L01;26;07
S000000095;2026-08-10;CI;31;1;1;1;0;20;S;L01;26;08
S000000096;2020-02-10;CI;29;1;1;1;0;20;S;L01;20;02
S000000096;2020-03-10;CI;29;1;1;1;0;20;S;L01;20;03
S000000096;2020-04-10;CI;31;1;1;1;0;20;S;L01;20;04
S000000096;2020-05-10;CI;30;1;1;1;0;20;S;L01;20;05
S000000096;2020-06-10;CI;31;1;1;1;0;20;S;L01;20;06
S000000096;2020-07-10;CI;30;1;1;1;0;20;S;L01;20;07
S000000096;2020-08-10;CI;31;1;1;1;0;20;S;L01;20;08
S000000096;2020-09-10;CI;31;1;1;1;0;20;S;L01;20;09
S000000096;2020-10-10;CI;30;1;1;1;0;20;S;L01;20;10
S000000096;2020-11-10;CI;31;1;1;1;0;20;S;L01;20;11
S000000096;2020-12-10;CI;30;1;1;1;0;20;S;L01;20;12
S000000096;2021-01-10;CI;31;1;1;1;0;20;S;L01;21;01
S000000096;2021-02-10;CI;31;1;1;1;0;20;S;L01;21;02
S000000096;2021-03-10;CI;28;1;1;1;0;20;S;L01;21;03
S000000096;2021-04-10;CI;31;1;1;1;0;20;S;L01;21;04
S000000096;2021-05-10;CI;30;1;1;1;0;20;S;L01;21;05
S000000096;2021-06-10;CI;31;1;1;1;0;20;S;L01;21;06
S000000096;2021-07-10;CI;30;1;1;1;0;20;S;L01;21;07
S000000096;2021-08-10;CI;31;1;1;1;0;20;S;L01;21;08
S000000096;2021-09-10;CI;31;1;1;1;0;20;S;L01;21;09
S000000096;2021-10-10;CI;30;1;1;1;0;20;S;L01;21;10
S000000096;2021-11-10;CI;31;1;1;1;0;20;S;L01;21;11
S000000096;2021-12-10;CI;30;1;1;1;0;20;S;L01;21;12
S000000096;2022-01-10;CI;31;1;1;1;0;20;S;L01;22;01
S000000096;2022-02-10;CI;31;1;1;1;0;20;S;L01;22;02
S000000096;2022-03-10;CI;28;1;1;1;0;20;S;L01;22;03
S000000096;2022-04-10;CI;31;1;1;1;0;20;S;L01;22;04
S000000096;2022-05-10;CI;30;1;1;1;0;20;S;L01;22;05
S000000096;2022-06-10;CI;31;1;1;1;0;20;S;L01;22;06
S000000096;2022-07-10;CI;30;1;1;1;0;20;S;L01;22;07
S000000096;2022-08-10;CI;31;1;1;1;0;20;S;L01;22;08
