NUM_PARTICIO;ID_EMPRESA;ANY_FACTURA;NUM_FACTURA;MOM_SIT_FACT;TIP_SIT_FACT;CAUSA_SIT_FACT
1;AB;2021;1;2021-03-04 08:00:00;00;FC
1;AB;2021;1;2021-03-04 10:00:00;01;EM
1;AB;2021;1;2021-03-05 10:00:00;02;CE
1;AB;2021;1;2021-03-15 10:00:00;03;CO
1;AB;2021;2;2021-04-04 08:00:00;00;FC
1;AB;2021;2;2021-04-04 10:00:00;01;EM
1;AB;2021;2;2021-04-05 10:00:00;02;CE
1;AB;2021;2;2021-04-13 10:00:00;03;CO
1;AB;2021;3;2021-05-04 08:00:00;00;FC
1;AB;2021;3;2021-05-04 10:00:00;01;EM
1;AB;2021;3;2021-05-05 10:00:00;02;CE
1;AB;2021;3;2021-05-14 10:00:00;03;CO
1;AB;2021;4;2021-06-04 08:00:00;00;FC
1;AB;2021;4;2021-06-04 10:00:00;01;EM
1;AB;2021;4;2021-06-05 10:00:00;02;CE
1;AB;2021;4;2021-06-22 10:00:00;03;CO
1;AB;2021;5;2021-07-04 08:00:00;00;FC
1;AB;2021;5;2021-07-04 10:00:00;01;EM
1;AB;2021;5;2021-07-05 10:00:00;02;CE
1;AB;2021;5;2021-07-23 10:00:00;03;CO
1;AB;2021;6;2021-08-04 08:00:00;00;FC
1;AB;2021;6;2021-08-04 10:00:00;01;EM
1;AB;2021;6;2021-08-05 10:00:00;02;CE
1;AB;2021;6;2021-08-20 10:00:00;03;CO
1;AB;2021;7;2021-09-04 08:00:00;00;FC
1;AB;2021;7;2021-09-04 10:00:00;01;EM
1;AB;2021;7;2021-09-05 10:00:00;02;CE
1;AB;2021;7;2021-09-13 10:00:00;03;CO
1;AB;2021;8;2021-10-04 08:00:00;00;FC
1;AB;2021;8;2021-10-04 10:00:00;01;EM
1;AB;2021;8;2021-10-05 10:00:00;02;CE
1;AB;2021;8;2021-10-22 10:00:00;03;CO
1;AB;2021;9;2021-11-04 08:00:00;00;FC
1;AB;2021;9;2021-11-04 10:00:00;01;EM
1;AB;2021;9;2021-11-05 10:00:00;02;CE
1;AB;2021;9;2021-11-26 10:00:00;03;CO
1;AB;2021;10;2021-12-04 08:00:00;00;FC
1;AB;2021;10;2021-12-04 10:00:00;01;EM
1;AB;2021;10;2021-12-05 10:00:00;02;CE
1;AB;2021;10;2021-12-13 10:00:00;03;CO
1;AB;2022;1;2022-01-04 08:00:00;00;FC
1;AB;2022;1;2022-01-04 10:00:00;01;EM
1;AB;2022;1;2022-01-05 10:00:00;02;CE
1;AB;2022;1;2022-01-24 10:00:00;03;CO
1;AB;2022;2;2022-02-04 08:00:00;00;FC
1;AB;2022;2;2022-02-04 10:00:00;01;EM
1;AB;2022;2;2022-02-05 10:00:00;02;CE
1;AB;2022;2;2022-02-12 10:00:00;03;CO
1;AB;2022;3;2022-03-04 08:00:00;00;FC
1;AB;2022;3;2022-03-04 10:00:00;01;EM
1;AB;2022;3;2022-03-05 10:00:00;02;CE
1;AB;2022;3;2022-04-02 10:00:00;03;CO
1;AB;2022;4;2022-04-04 08:00:00;00;FC
1;AB;2022;4;2022-04-04 10:00:00;01;EM
1;AB;2022;4;2022-04-05 10:00:00;02;CE
1;AB;2022;4;2022-04-15 10:00:00;03;CO
1;AB;2022;5;2022-05-04 08:00:00;00;FC
1;AB;2022;5;2022-05-04 10:00:00;01;EM
1;AB;2022;5;2022-05-05 10:00:00;02;CE
1;AB;2022;5;2022-05-22 10:00:00;03;CO
1;AB;2022;6;2022-06-04 08:00:00;00;FC
1;AB;2022;6;2022-06-04 10:00:00;01;EM
1;AB;2022;6;2022-06-05 10:00:00;02;CE
1;AB;2022;6;2022-07-02 10:00:00;03;CO
1;AB;2022;7;2022-07-04 08:00:00;00;FC
1;AB;2022;7;2022-07-04 10:00:00;01;EM
1;AB;2022;7;2022-07-05 10:00:00;02;CE
1;AB;2022;7;2022-07-20 10:00:00;03;CO
1;AB;2022;8;2022-08-04 08:00:00;00;FC
1;AB;2022;8;2022-08-04 10:00:00;01;EM
1;AB;2022;8;2022-08-05 10:00:00;02;CE
1;AB;2022;8;2022-08-22 10:00:00;03;CO
1;AB;2022;9;2022-09-04 08:00:00;00;FC
1;AB;2022;9;2022-09-04 10:00:00;01;EM
1;AB;2022;9;2022-09-05 10:00:00;02;CE
1;AB;2022;9;2022-10-04 10:00:00;03;CO
1;AB;2022;10;2022-10-04 08:00:00;00;FC
1;AB;2022;10;2022-10-04 10:00:00;01;EM
1;AB;2022;10;2022-10-05 10:00:00;02;CE
1;AB;2022;10;2022-10-17 10:00:00;03;CO
1;AB;2022;11;2022-11-04 08:00:00;00;FC
1;AB;2022;11;2022-11-04 10:00:00;01;EM
1;AB;2022;11;2022-11-05 10:00:00;02;CE
1;AB;2022;11;2022-11-17 10:00:00;03;CO
1;AB;2022;12;2022-12-04 08:00:00;00;FC
1;AB;2022;12;2022-12-04 10:00:00;01;EM
1;AB;2022;12;2022-12-05 10:00:00;02;CE
1;AB;2022;12;2022-12-15 10:00:00;03;CO
1;AB;2023;1;2023-01-04 08:00:00;00;FC
1;AB;2023;1;2023-01-04 10:00:00;01;EM
1;AB;2023;1;2023-01-05 10:00:00;02;CE
1;AB;2023;1;2023-01-24 10:00:00;03;CO
1;AB;2023;2;2023-02-04 08:00:00;00;FC
1;AB;2023;2;2023-02-04 10:00:00;01;EM
1;AB;2023;2;2023-02-05 10:00:00;02;CE
1;AB;2023;2;2023-02-28 10:00:00;03;CO
1;AB;2023;3;2023-03-04 08:00:00;00;FC
1;AB;2023;3;2023-03-04 10:00:00;01;EM
1;AB;2023;3;2023-03-05 10:00:00;02;CE
1;AB;2023;3;2023-03-28 10:00:00;03;CO
1;AB;2023;4;2023-04-04 08:00:00;00;FC
1;AB;2023;4;2023-04-04 10:00:00;01;EM
1;AB;2023;4;2023-04-05 10:00:00;02;CE
1;AB;2023;4;2023-04-16 10:00:00;03;CO
1;AB;2023;5;2023-05-04 08:00:00;00;FC
1;AB;2023;5;2023-05-04 10:00:00;01;EM
1;AB;2023;5;2023-05-05 10:00:00;02;CE
1;AB;2023;5;2023-05-24 10:00:00;03;CO
1;AB;2023;6;2023-06-04 08:00:00;00;FC
1;AB;2023;6;2023-06-04 10:00:00;01;EM
1;AB;2023;6;2023-06-05 10:00:00;02;CE
1;AB;2023;6;2023-06-28 10:00:00;03;CO
1;AB;2023;7;2023-07-04 08:00:00;00;FC
1;AB;2023;7;2023-07-04 10:00:00;01;EM
1;AB;2023;7;2023-07-05 10:00:00;02;CE
1;AB;2023;7;2023-07-11 10:00:00;03;CO
1;AB;2023;8;2023-08-04 08:00:00;00;FC
1;AB;2023;8;2023-08-04 10:00:00;01;EM
1;AB;2023;8;2023-08-05 10:00:00;02;CE
1;AB;2023;8;2023-09-03 10:00:00;03;CO
1;AB;2023;9;2023-09-04 08:00:00;00;FC
1;AB;2023;9;2023-09-04 10:00:00;01;EM
1;AB;2023;9;2023-09-05 10:00:00;02;CE
