POLISSA_SUBM;SECCIO;EPIGRAF_IAE
S000000001;U;9000
S000000002;U;9000
S000000003;U;9000
S000000004;U;9000
S000000005;U;9001
S000000006;U;9000
S000000007;U;9000
S000000008;U;9000
S000000009;U;9000
S000000010;U;9001
S000000011;U;9000
S000000012;U;9000
S000000013;U;9000
S000000014;U;9000
S000000015;U;9001
S000000016;U;9000
S000000017;U;9000
S000000018;U;9000
S000000019;U;9000
S000000020;U;9001
S000000021;U;9000
S000000022;U;9000
S000000023;U;9000
S000000024;U;9000
S000000025;U;9001
S000000026;U;9000
S000000027;U;9000
S000000028;U;9000
S000000029;U;9000
S000000030;U;9001
S000000031;U;9000
S000000032;U;9000
S000000033;U;9000
S000000034;U;9000
S000000035;U;9001
S000000036;U;9000
S000000037;U;9000
S000000038;U;9000
S000000039;U;9000
S000000040;U;9001
S000000041;U;9000
S000000042;U;9000
S000000043;U;9000
S000000044;U;9000
S000000045;U;9001
S000000046;U;9000
S000000047;U;9000
S000000048;U;9000
S000000049;U;9000
S000000050;U;9001
S000000051;U;9000
S000000052;U;9000
S000000053;U;9000
S000000054;U;9000
S000000055;U;9001
S000000056;U;9000
S000000057;U;9000
S000000058;U;9000
S000000059;U;9000
S000000060;U;9001
S000000061;U;9000
S000000062;U;9000
S000000063;U;9000
S000000064;U;9000
S000000065;U;9001
S000000066;U;9000
S000000067;U;9000
S000000068;U;9000
S000000069;U;9000
S000000070;U;9001
S000000071;I;4106
S000000072;I;4101
S000000072;S;7103
S000000073;I;4102
S000000074;I;4103
S000000075;I;4104
S000000076;I;4105
S000000076;S;7103
S000000077;I;4106
S000000078;I;4101
S000000079;I;4102
S000000080;I;4103
S000000080;S;7103
S000000081;I;4104
S000000082;I;4105
S000000083;I;4106
S000000084;I;4101
S000000084;S;7103
S000000085;I;4102
S000000086;I;4103
S000000087;I;4104
S000000088;I;4105
S000000088;S;7103
S000000089;I;4106
S000000090;I;4101
S000000091;I;4102
S000000092;I;4103
S000000092;S;7103
S000000093;I;4104
S000000094;I;4105
S000000095;A;8001
S000000096;A;8001
S000000097;A;8001
S000000098;A;8001
S000000099;A;8001
S000000100;A;8001
