TIP_TARIFA;SUBTIP_TARIFA;DATA_INI_VIGENCIA;DATA_FI_VIGENCIA;ORDRE;VALOR_NUMERIC;UNITAT;OBSERVACIONS
IVA;AIGUA;2020-01-01;;1;10;PERCENT;IVA reducido
IVA;ALTRES;2020-01-01;;1;21;PERCENT;IVA general
AIGUA;BLOC1;2020-01-01;;1;0.8229;EUR_M3;
AIGUA;BLOC2;2020-01-01;;2;1.6460;EUR_M3;
AIGUA;BLOC3;2020-01-01;;3;2.5607;EUR_M3;
AIGUA;BLOC4;2020-01-01;;4;3.4140;EUR_M3;
AIGUA;BLOC5;2020-01-01;;5;4.2674;EUR_M3;
TRAM_AIGUA;LIMIT_B1;2020-01-01;;1;18;M3;
TRAM_AIGUA;LIMIT_B2;2020-01-01;;2;30;M3;
TRAM_AIGUA;LIMIT_B3;2020-01-01;;3;36;M3;
TRAM_AIGUA;LIMIT_B4;2020-01-01;;4;60;M3;
QTA_SERVEI;CABAL_025;2020-01-01;;1;3.50;EUR_MES;
QTA_SERVEI;CABAL_040;2020-01-01;;2;10.00;EUR_MES;
QTA_SERVEI;CABAL_063;2020-01-01;;3;18.00;EUR_MES;
QTA_SERVEI;CABAL_100;2020-01-01;;4;25.00;EUR_MES;
QTA_SERVEI;CABAL_160;2020-01-01;;5;40.00;EUR_MES;
CANON_AIGUA;TRAM1;2020-01-01;2023-12-31;1;0.50;EUR_M3;
CANON_AIGUA;TRAM2;2020-01-01;2023-12-31;2;1.00;EUR_M3;
CANON_AIGUA;TRAM3;2020-01-01;2023-12-31;3;2.00;EUR_M3;
CANON_AIGUA;TRAM4;2020-01-01;2023-12-31;4;3.50;EUR_M3;
CANON_AIGUA;TRAM1;2024-01-01;;1;0.60;EUR_M3;
CANON_AIGUA;TRAM2;2024-01-01;;2;1.20;EUR_M3;
CANON_AIGUA;TRAM3;2024-01-01;;3;2.40;EUR_M3;
CANON_AIGUA;TRAM4;2024-01-01;;4;4.00;EUR_M3;
TRR;DOMESTIC;2020-01-01;;1;8;EUR_PERIODE;
TRR;COMERCIAL;2020-01-01;;2;15;EUR_PERIODE;
TRR;INDUSTRIAL;2020-01-01;;3;30;EUR_PERIODE;
TAMGREM;PETIT;2020-01-01;;1;12;EUR_PERIODE;
TAMGREM;MITJA;2020-01-01;;2;25;EUR_PERIODE;
TAMGREM;GRAN;2020-01-01;;3;60;EUR_PERIODE;
TAMGREM;INDUSTRIAL;2020-01-01;;4;120;EUR_PERIODE;
CI;BOCA_25;2020-01-01;;1;1.00;EUR_UNITAT;
CI;BOCA_45;2020-01-01;;2;2.00;EUR_UNITAT;
CI;BOCA_70;2020-01-01;;3;4.00;EUR_UNITAT;
CI;BOCA_100;2020-01-01;;4;7.00;EUR_UNITAT;
CI;SPRINKLER;2020-01-01;;5;0.15;EUR_UNITAT;
QTA_SERVEI;CABAL_033;2020-01-01;;2;9.50;EUR_MES;
QTA_SERVEI;CABAL_050;2020-01-01;;4;16.00;EUR_MES;
BONIFICACIO;CANON_SOCIAL;2020-01-01;;1;50;PERCENT;Reduccio canon social
BONIFICACIO;TRR_SOCIAL;2020-01-01;;2;30;PERCENT;Bonificacio taxa residus
REGULARITZACIO;LECTURA_ESTIMADA;2020-01-01;;1;1;FLAG;
REGULARITZACIO;CANVI_COMPADOR;2020-01-01;;2;1;FLAG;
REGULARITZACIO;INCIDENCIA_COMERCIAL;2020-01-01;;3;1;FLAG;
