SECCIO;EPIGRAF_IAE;DESCR_IAE
U;9000;SUBMINISTRAMENT D'US DOMESTIC
U;9001;SUBMINISTRAMENT D'US PARTICULAR
C;6101;COMERC
C;6102;RESTAURANTS I HOSTALERIA
C;6103;REPARACIONS
I;4101;ENERGIA I AIGUA
I;4102;EXTRACCIO I TRANSFORMACIO DE MINERALS
I;4103;INDUSTRIA METAL.LURGICA
I;4104;ALTRES INDUSTRIES MANUFACTURERES
I;4105;CONSTRUCCIO
I;4106;TRANSPORT I COMUNICACIONS
S;7101;ACTIVITATS FINANCERES
S;7102;ASSEGURANCES
S;7103;SERVEIS PROFESSIONALS
S;7104;ALTRES SERVEIS
S;7105;ACTIVITATS ARTISTIQUES
A;8001;SUBMINISTRAMENTS D'AJUNTAMENT
A;8002;DEPARTAMENTS PUBLICS
A;8003;ORGANISMES OFICIALS
E;8501;ASSOCIACIONS
E;8502;ONG
E;8503;PARTITS POLITICS
P;9501;PROFESSIONALS AGRICULTURA
P;9502;PROFESSIONALS ENERGIA I INDUSTRIA
P;9503;PROFESSIONALS CONSTRUCCIO
P;9504;PROFESSIONALS COMERC I HOSTALERIA
P;9505;PROFESSIONALS TRANSPORT
P;9506;PROFESSIONALS ALTRES SERVEIS
