POLISSA_SUBM;TS_PADRO_TRR;TIP_TAXA_TRR;NOMB_HABIT_SUBM;CONSUM_MES_BASE;TIP_QUOTA_TRR;CONSUM_MIG_DIA;NUMERO_EMPLEAT;SECCIO;EPIGRAF_IAE;PERC_BONIF_TRR
S000000001;2021-02-02 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000002;2022-03-03 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000003;2023-04-04 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000004;2024-05-05 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000005;2025-06-06 00:00:00;G;5;20;BAS;0.7;EMP001;;;0
S000000006;2020-07-07 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000007;2021-08-08 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000008;2022-09-09 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000009;2023-10-10 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000010;2024-11-11 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000011;2025-12-12 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000012;2020-01-13 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000013;2021-02-14 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000014;2022-03-15 00:00:00;G;4;20;BAS;0.7;EMP001;;;0
S000000015;2023-04-16 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000016;2024-05-17 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000017;2025-06-18 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000018;2020-07-19 00:00:00;G;3;20;BAS;0.7;EMP001;;;0
S000000019;2021-08-20 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000020;2022-09-21 00:00:00;G;1;20;BAS;0.7;EMP001;;;0
S000000021;2023-10-22 00:00:00;G;5;20;BAS;0.7;EMP001;;;0
S000000022;2024-11-23 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
S000000023;2025-12-24 00:00:00;G;6;20;BAS;0.7;EMP001;;;0
S000000024;2020-01-25 00:00:00;G;2;20;BAS;0.7;EMP001;;;0
