CODIGO_CONCEPTO,CODIGO_ORIGEN,ORIGEN_CONCEPTO,GRUPO_FUNCIONAL,ES_CONSUMO,ES_SERVICIO,ES_TRIBUTO,ES_BONIFICACION,ES_IVA,ES_ADITIVO
AIGUA:AIGUA_BLOC1,AIGUA_BLOC1,L4_FACT_AIGUA,CONSUMO_AGUA,true,true,false,false,false,true
AIGUA:AIGUA_BLOC2,AIGUA_BLOC2,L4_FACT_AIGUA,CONSUMO_AGUA,true,true,false,false,false,true
AIGUA:AIGUA_BLOC3,AIGUA_BLOC3,L4_FACT_AIGUA,CONSUMO_AGUA,true,true,false,false,false,true
AIGUA:AIGUA_BLOC4,AIGUA_BLOC4,L4_FACT_AIGUA,CONSUMO_AGUA,true,true,false,false,false,true
AIGUA:AIGUA_BLOC5,AIGUA_BLOC5,L4_FACT_AIGUA,CONSUMO_AGUA,true,true,false,false,false,true
AIGUA:QUOTA_SERVEI,QUOTA_SERVEI,L4_FACT_AIGUA,CUOTA_SERVICIO,false,true,false,false,false,true
AIGUA:CT_XBASICA,CT_XBASICA,L4_FACT_AIGUA,CUOTA_SERVICIO,false,true,false,false,false,true
AIGUA:TCG_SUBM,TCG_SUBM,L4_FACT_AIGUA,OTROS_SERVICIOS,false,true,false,false,false,true
AIGUA:CLAVEGUERAM,CLAVEGUERAM,L4_FACT_AIGUA,ALCANTARILLADO,false,true,false,false,false,true
AIGUA:SANEJAMENT,SANEJAMENT,L4_FACT_AIGUA,SANEAMIENTO,false,true,false,false,false,true
AIGUA:ERSU,ERSU,L4_FACT_AIGUA,RESIDUOS,false,false,true,false,false,true
AIGUA:CIH_BLOC1,CIH_BLOC1,L4_FACT_AIGUA,INFRAESTRUCTURA_HIDRAULICA,false,false,true,false,false,true
AIGUA:CIH_BLOC2,CIH_BLOC2,L4_FACT_AIGUA,INFRAESTRUCTURA_HIDRAULICA,false,false,true,false,false,true
AIGUA:CIH_BLOC3,CIH_BLOC3,L4_FACT_AIGUA,INFRAESTRUCTURA_HIDRAULICA,false,false,true,false,false,true
AIGUA:IVA_SANEJAMENT,IVA_SANEJAMENT,L4_FACT_AIGUA,IVA,false,false,true,false,true,true
AIGUA:IVA,IVA,L4_FACT_AIGUA,IVA,false,false,true,false,true,true
CONCEPTE:CA1,CA1,L4_FACT_CONCEPTE,CANON_AGUA,false,false,true,false,false,true
CONCEPTE:CA2,CA2,L4_FACT_CONCEPTE,CANON_AGUA,false,false,true,false,false,true
CONCEPTE:CA3,CA3,L4_FACT_CONCEPTE,CANON_AGUA,false,false,true,false,false,true
CONCEPTE:CA4,CA4,L4_FACT_CONCEPTE,CANON_AGUA,false,false,true,false,false,true
CONCEPTE:CA5,CA5,L4_FACT_CONCEPTE,IVA,false,false,true,false,true,true
CONCEPTE:CA6,CA6,L4_FACT_CONCEPTE,CANON_AGUA,false,false,true,false,false,true
CONCEPTE:CA7,CA7,L4_FACT_CONCEPTE,CANON_AGUA,false,false,true,false,false,true
CONCEPTE:CON,CON,L4_FACT_CONCEPTE,CONSERVACION,false,true,false,false,false,true
CONCEPTE:BSA,BSA,L4_FACT_CONCEPTE,BONIFICACION,false,false,false,true,false,true
CONCEPTE:BSQ,BSQ,L4_FACT_CONCEPTE,BONIFICACION,false,false,false,true,false,true
CONCEPTE:TAM,TAM,L4_FACT_CONCEPTE,RESIDUOS,false,false,true,false,false,true
CONCEPTE:B25,B25,L4_FACT_CONCEPTE,EQUIPO_CI,false,true,false,false,false,true
CONCEPTE:B45,B45,L4_FACT_CONCEPTE,EQUIPO_CI,false,true,false,false,false,true
CONCEPTE:B70,B70,L4_FACT_CONCEPTE,EQUIPO_CI,false,true,false,false,false,true
CONCEPTE:SPR,SPR,L4_FACT_CONCEPTE,EQUIPO_CI,false,true,false,false,false,true
CONCEPTE:IVN,IVN,L4_FACT_CONCEPTE,IVA,false,false,true,false,true,true
